20260309-000730-8168 39083 * main            (benchmark.cc:404): Starting benchmark.
20260309-000731-4188 39083 * main            (benchmark.cc:623): Creating a default paritioner!
20260309-000731-4191 39083 * Client          (client.cc:75):     Initializing StrongStore client with id [3]
20260309-000750-5695 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000750-5695 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000750-5695 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000750-9723 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000750-9724 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000750-9724 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000750-9724 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000751-3756 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000751-3756 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000751-3756 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000751-3757 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000751-7788 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000751-7789 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000751-7789 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000751-7789 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000752-1812 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000752-1813 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000752-1813 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000752-1813 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000752-5836 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000752-5836 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000752-5837 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000752-5837 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000752-9877 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000752-9878 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
20260309-000752-9878 39083 * SendMessageToReplica (transportcommon.h:97): key is 1, value is -1700686656
20260309-000752-9878 39083 * SendMessageToReplica (transportcommon.h:97): key is 2, value is -1700686656
20260309-000753-3917 39083 * SendMessageToReplica (transportcommon.h:94): sending message to replica, len of replicaaddr is 3
20260309-000753-3917 39083 * SendMessageToReplica (transportcommon.h:97): key is 0, value is -1700686656
